date,content,lang,sourceLabel,hashtags,user.verified,user.created,user.location,,,,,,,,,,,,,,,,,,,,,
25/08/2021,LIVE NO Dap No anwar tapi Ismail Sabri jumpa Pembangkang via YouTube LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,14/02/2019,Wilayah Persekutuan Kuala Lump,,,,,,,,,,,,,,,,,,,,,
25/08/2021,Laungan Lawantetaplawan kena digugurkan dgn CSA ini,in,Twitter for Android,['Lawantetaplawan'],FALSE,02/08/2021,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,Siapa yang bersama rakyat kami sokong Siapa yang menzalimi rakyat kami lawan LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,23/06/2012,Shah Alam,,,,,,,,,,,,,,,,,,,,,
25/08/2021,UndiSarawak Lawan LawanTetapLawan,und,Twitter Web App,"['UndiSarawak', 'Lawan', 'LawanTetapLawan']",FALSE,31/07/2020,"Sarawak, Malaysia",,,,,,,,,,,,,,,,,,,,,
25/08/2021,Now lets see whether IsmailSabri can deliver or not LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,Rightly said kematangan politik bermula dgn duduk semeja tak kira pemerintah ataupun pembangkang dan membicarakan soal rakyat LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,helang mkini bm There s no BIG BRO concept in PH PH is a partnership LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,nitrochris imnormgoh Its okay bln jer after that lets menang bergaya at PRU and avoid these kind of scheme of thgs from happening again Pengkhianat n pencuri mandat akan pasti dpt balasan LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,xFdilJfri Elizyyy ahaha LawanTetapLawan,tl,Twitter for Android,['LawanTetapLawan'],FALSE,15/05/2010,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,Masih nk kata PH tak berlapang dada Anwar gila kuasa depa tu yg tak habis berebut LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,LawanTetapLawan,und,Twitter for iPhone,['LawanTetapLawan'],FALSE,14/11/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
25/08/2021,khairul nadzir LawanTetapLawan,und,Twitter for Android,['LawanTetapLawan'],FALSE,17/05/2021,,,,,,,,,,,,,,,,,,,,,,
25/08/2021,MKN skrg dah takeover function kementerian penerangan ke dah hari suruh kibar jalur gemilang nie LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
