date,content,replyCount,retweetCount,likeCount,quoteCount,lang,sourceLabel,hashtags,user.verified,user.created,user.location
19/08/2021,Zamyusof TompangBin AimanAirin hanafi pi Yahooooo lebai bwh kaki umno,0,0,0,0,in,Twitter for Android,,FALSE,09/11/2010,
19/08/2021,mohdmukhlis Dah lah tu Anwar takan jadi pm dah dua kali masih gagal kena tipu dgn umno je lah Fikir kan negara dan cuba lagi di pru,1,0,1,0,in,Twitter for Android,,FALSE,06/11/2017,
19/08/2021,TokJoeMY Memang tok ingat lagi dulu dekat sekolah time pru lepas cikgu siap berkempen dekat sekolah cakap negara akan hancur kalau Anwar PM demi masa depan negara suruh student sokong UMNO,0,0,0,0,in,Twitter for iPhone,,FALSE,25/06/2011,
19/08/2021,Aku mmg tak paham pasal benda ni orang semua marah Anwar psal PM letak jawatan I wonder dorg ni sebenarnya tahu ke tak pasal politik Dorg tahu ke tak UMNO yg gila kuasa khianat Yidin the only reason Anwar selalu terserlah sbb dia satu nya pembangkang yg competent dr dulu,1,0,16,0,in,Twitter for iPhone,,FALSE,16/11/2017,
19/08/2021,Ahli Parlimen UMNO akan bertolak menaiki bas ke Istana Negara buletinpertiwi,1,0,2,0,in,Twitter for iPhone,,FALSE,03/07/2014,
19/08/2021,mkini bm they are forgotten history the members sure return to UMNO MUDA will be the force to come,0,0,0,0,in,Twitter for iPhone,,FALSE,12/01/2011,
19/08/2021,UMNO TIPU BERSATU IBARAT PENYAMUN TIPU PEROMPAK HA HA HA,0,0,0,0,en,Twitter for iPhone,,FALSE,29/12/2019,
19/08/2021,milosuam Kite jgn lupe blok BN masih ade lg ni la tujuan umno dilantik supaya gagasan BN wujud semula di malaysia kite ade blok parti PH PN dn BN,0,1,1,0,in,Twitter for iPhone,,FALSE,24/09/2017,
19/08/2021,youbeensleeping Mekingkup malaysia bawah umno,0,0,0,0,in,Twitter Web App,,FALSE,15/04/2020,
19/08/2021,youbeensleeping Ko tu yang buta hati meratib dengan umno,1,0,0,0,in,Twitter for Android,,FALSE,16/07/2020,
19/08/2021,Awani Korang punya so called Abah tu lah bawa balik pelacur UMNO ni semula kan dah porak peranda Buka la mata kamu UMNO akan kembali berkuasa utk selamatkan geng kleptokrat DSAI bukan elok background tp kenapa kamu x support Khairy Jamaluddin,1,0,0,0,in,Twitter for Android,,FALSE,16/07/2020,
19/08/2021,Naib Ketua Pemuda MCA Teow Chia Ling telah bekerjasama dengan NGO untuk membantu mengagihkan sumbangan barang makanan kepada penduduk yang memerlukannya do Desa Tebrau Terima kasih juga kepada UMNO tempatan yg tolong viralkan info kpd penduduk,0,0,1,0,in,Twitter for Android,,FALSE,05/07/2021,
19/08/2021,mael bera ni aduh pru lepas buang umno hujung umno jugak neraka ah semua,0,0,13,1,in,Twitter for iPhone,,FALSE,05/10/2010,
19/08/2021,thevibesnews AzminAli IsmailSabri Hahaha why not Bersatu is supporting UMNO for the PM post right Azmin also is high ranking in Bersatu He got experience MB Economy minister Menteri Kanan international exposure as in MITI minister And le,0,0,0,0,in,Twitter Web App,,FALSE,26/11/2012,
19/08/2021,SeradaCombined Power UMNO belum kira lagi order jet helikopter juta yg tak smpi tapi duit dah bayar peruntukan juta KBS yg hilang dulu p mana juta tau bkn ringgit kau compare org yg perintah tahun dgn bulan adil ka awat tak com,0,0,0,0,en,Twitter for iPad,,FALSE,27/11/2011,
19/08/2021,Kalau geng diorang ikot prinsip moral Dah lama dah geng umno tu letak jawatan Mana tahu malu deme tu,1,3,6,0,in,Twitter for Android,,FALSE,25/11/2013,
19/08/2021,For the record Umno has MPs However only MPs have been summoned to the palace Checks of a schedule listing the names of the MPs summoned to the palace showed that Gua Musang s tengkurazaleigh is not included thevibesnews,0,0,1,0,in,Twitter for iPhone,,FALSE,05/03/2012,
19/08/2021,faridahanimAS Kita move on Biar depa urus Umno tak pernah fikir nak reform lawan di pru,1,1,12,1,en,Twitter for iPhone,,FALSE,14/05/2018,
19/08/2021,UMNO kemain haritu tarik sokongan kat Mahiaddin now sokong DSIS pulak Aku macam otak aku jatuh tapi bila nak cari tu dia hilang Otak aku hilang Ni mesti Zahid discus ngan DSIS nanti hang kena lantik aku jadi TPM,0,0,1,0,in,Twitter for Android,,FALSE,07/01/2012,
19/08/2021,ChairmanGLC Nak buat apa bro game umno kan biasa rompakkan besar hanyutian rakyat,0,0,0,0,in,Twitter for iPhone,,FALSE,12/09/2020,
19/08/2021,Agong panggil parti menang ke Istana Negara sahkan Ismail Sabri PM SUA UMNO sinar premium,0,0,0,0,in,Twitter for Android,,FALSE,29/08/2010,
19/08/2021,Setiausaha Agung UMNO DS Ahmad Maslan sahkan MP BN UMNO PAS Bersatu GPS dan Bebas diminta menghadap Tuanku hari ini Ia bagi mengesahkan sokongan SD terhadap MP Bera DS Ismail Sabri Yaakob Awani PolitikMalaysia PM,0,1,0,0,in,Twitter for iPhone,,FALSE,08/05/2010,
19/08/2021,Ayahanda MD IsmailSabri umnoonline Alamurni Sbb anda semua golongan munafik Sampai bila la melayu umno ni nk kna tipu ngan pemimpin snd,2,5,14,0,in,Twitter for iPhone,,FALSE,21/08/2018,
19/08/2021,The MPs will be arriving throughout the day in groups beginning am In no particular order they are from Umno Bersatu GPS PAS MCA MIC PBRS PBS STAR Independent thevibesnews,0,0,0,0,in,Twitter for iPhone,,FALSE,06/05/2011,
19/08/2021,UMNO pun dia punya gameplay tu aku dah boleh baca UMNO mana biasa jadi budak bawahan Itu yang akan usaha buat apa saja untuk berada dekat atas,1,1,9,0,en,Twitter for iPhone,,FALSE,14/05/2018,
19/08/2021,MOHDMUSA Ooo presiden UMNO bukan Zahid ka Kenapa Ismail pulak jadi calon PM,0,0,0,0,in,Twitter for Android,,FALSE,25/06/2010,
19/08/2021,Rasanya kenapa agung cuma nak calon PM sahaja Kerana kebarangkalian kabinet akan dari kedua dua pihak Tapi kalau kabinet pun under PM UMNO mungkin banyak muka baru dalam kabinet Tetapi bagaimana dengan PH Apakah setiap ketua parti mendapat tempat Dan siapa yang perform,1,0,0,0,in,Twitter for iPhone,,FALSE,17/06/2014,
19/08/2021,I can t wait for the GE We need to obliterate this UMNO and PAS for good Can time move any faster Can COVID slow down,0,0,0,0,in,Twitter for iPhone,,FALSE,05/12/2010,
19/08/2021,Zamyusof Pada dia bukan umno,0,0,0,0,en,Twitter for iPhone,,FALSE,27/02/2018,
19/08/2021,ahmadmaslan IsmailSabri Apa punya bacul Umno ni YB beriya perang kritik ugut tarik sokongan last menyendeng dkt Bersatu jugak utk dptkan sokongan Demi kemashalatan konon,0,0,2,0,in,Twitter for Android,,FALSE,09/12/2017,
19/08/2021,Reporters Please ask Dr M how does he feel about Kicked out of BERSATU that he formed BERSATU now part of UMNO Wawasan Thank you,2,0,2,0,in,Twitter for Android,,FALSE,11/03/2014,
19/08/2021,UMNO bentuk kerajaan Bagus la Warisi balik hutang MDB yg berpuluh billion mereka tinggalkan dulu Ada yg percaya UMNO akan jadi telus dan bukan macam dulu Apa akan jadi kluster mahkamah Kerajaan yg rakyat tumbangkan diangkat semula bukan melalui undi rakyat Hadiah merdeka,0,0,1,0,en,Twitter Web App,,FALSE,28/12/2018,
19/08/2021,Tapi ada possibility ppbm boleh guna taktik yang sama mcm umno guna utk jatuhkan kerajaan yidin Dia tarik balik sokongan sokong PH So time tu geng umno will have the taste of their own medicine,14,18,75,0,in,Twitter for iPhone,,FALSE,12/04/2020,
19/08/2021,I hope those affected in Kedah will be okay and they find the missing people We have a new PM from the same coalition that screwed up the country for the past year plus UMNO Bersatu PAS GE is the aim now Bigger majority,0,0,0,0,in,Twitter for iPhone,,FALSE,05/03/2012,
19/08/2021,amad occong Dalam kerajaan sama tapi parti lain satu UMNO and satu lagi Bersatu,0,0,2,0,en,Twitter for iPhone,,FALSE,07/11/2014,
19/08/2021,Mxllan Tp masih ada lagi golongan jumud merangkap jahil murakkab yg tuduh PAS dgn bermacam fitnah Tiada lagi kata nista terhadap pemimpin Umno yg sblom ni diaorg lemparkan dgn begitu teruk skali Perangai penyokong PH mmg gitu la gamaknya,1,0,0,0,in,Twitter for Android,,FALSE,08/03/2012,
19/08/2021,UMNO dan sekutunya tak boleh hidup tanpa kuasa,0,0,1,0,in,Twitter for Android,,FALSE,09/08/2021,
19/08/2021,lutfi hambali ahmadmaslan IsmailSabri Kerajaan gagal kerajaan pengkhianat dikhianati oleh mp umno yg gilakan kuasa InshaAllah kes kluster makamah dah tau la ending dia syabas,0,0,0,0,in,Twitter for iPhone,,FALSE,08/02/2010,
19/08/2021,reezl HamdanRukun Kepimpinan Umno skrg meletakkan parti di atas sekali Kepimpinan Pas pula lebih meletakkan Agama di atas Sebab itu kita nampak pergerakkan yg berbeza,1,0,1,0,in,Twitter for Android,,FALSE,24/10/2019,
19/08/2021,yang tamak sebenarnya adalah UMNO bukanlah dari puak pembangkang,0,0,2,0,in,Twitter for Android,,FALSE,25/12/2018,
19/08/2021,Kitar semula UMNO tetap UMNO Snakue Sembang untuk rakyat,0,0,0,0,in,Twitter for Android,,FALSE,16/12/2009,
19/08/2021,chean nasution Persoalannya Siapa kabinet dalam pimpinan Anwar Dan apakah jika PH tak dapat deliver dengan baik rakyat akan undi PN UMNO semula,0,0,1,0,in,Twitter for iPhone,,FALSE,09/11/2012,
19/08/2021,Jadinya kita kembali kepada UMNO,0,0,4,0,in,Twitter for iPhone,,FALSE,05/12/2010,
19/08/2021,Potteh Dia bendahari umno cawangan kampung tok,0,0,0,0,in,Twitter for Android,,FALSE,09/02/2020,
19/08/2021,Yo Hamill tau la UMNO is back takyah la nak sindir macam ni,3,0,10,0,in,Twitter for Android,,FALSE,24/04/2020,
19/08/2021,Awani Maksudnya Politik Umno kan kan,0,0,2,0,in,Twitter for Android,,FALSE,29/02/2016,
19/08/2021,UMNO yg menarik sokongan dengan Mahiaddin tapi menyokong Ismail Sabri ni taktahu apa yang mereka nak I m confused,0,0,0,0,in,Twitter for Android,,FALSE,09/05/2013,
19/08/2021,TokJoeMY Hahaa yg porak peranda UMNO yg salah Anwar,0,1,0,0,in,Twitter for iPhone,,FALSE,18/01/2012,
19/08/2021,Harry anwaribrahim Kleptokrat itu umno bukan GPS sarawak,1,0,17,0,in,Twitter for iPhone,,FALSE,09/10/2020,
19/08/2021,CuCuJeBat RajaPetra Serah jawatan utk tok mat pula pegang persiden Umno,1,0,0,0,in,Twitter Web App,,FALSE,22/12/2017,
19/08/2021,RPdotAsha Not surprised if Azmin or Hamzah will be DPM Otherwise why the hell will Bersatu back UMNO,0,0,0,0,in,Twitter for Android,,FALSE,19/05/2021,
19/08/2021,Menerusi satu tangkap layar pengesahan dripda Setiausaha Agung UMNO Datuk Seri Ahmad Maslan yang tular kesemua ahli Dewan Rakyat itu akn dipanggil esok,1,0,1,0,en,Twitter Web App,,FALSE,28/12/2018,
19/08/2021,So pimpinan malaysia amp israel sama je kan Pastu yg paspispus bersatu umno duk terlolong terlalang melayu isley tu apa Hakikatnya perangai pimpinan sebijik mcm melayu israel,4,2,5,2,in,Twitter for Android,,FALSE,11/08/2021,
19/08/2021,adzman Harap YDPA tanya PN knp aritu Umno tendang korang tp skrg masih nak sokong diaorg jd PM,0,0,0,0,in,Twitter for iPhone,,FALSE,20/02/2021,
19/08/2021,UMNO hentam BERSATU untuk rampas jawatan PM BERSATU pun tunduk janji ada jawatan dan pangkat dlm KERAJAAN Apedehal jilat ludah pun ok,0,0,1,0,in,Twitter for iPhone,,FALSE,10/12/2008,
19/08/2021,umnoonline Haramkan jela UMNO ni dah x releven dah masa kini,0,0,0,0,in,Twitter for Android,,FALSE,25/11/2018,
