date,content,replyCount,retweetCount,likeCount,quoteCount,lang,sourceLabel,hashtags,user.verified,user.created,user.location
23/08/2021,so u speak to save democracy nd u ended up with UAPA nd they claimed it as saab Changga si rip democracy UmarKhalid,0,0,0,0,en,Twitter for Android,,FALSE,11/12/2011,
23/08/2021,Shocked such a low grade media RIP democracy,0,0,1,0,en,Twitter for Android,['UmarKhalid'],FALSE,27/12/2011,Guwahati
22/08/2021,So notmypm has been trending for days now in Malaysia He s clearly not our PM It s unfortunate that we re back to square one now RIP democracy,0,0,0,0,en,Twitter Web App,,FALSE,03/10/2020,Delhi
22/08/2021,ActivistLegal lightlion You should be supporting peoples right to protest It will soon be gone forever Here in the UK they are attempting to remove our right to freely protest under cover of covid RIP democracy,0,2,2,0,en,Twitter for iPhone,['notmypm'],FALSE,14/10/2020,"Kuala Lumpur, Malaysia"
21/08/2021,RIP democracy NotMyPM,0,0,1,0,en,Twitter for Android,,FALSE,09/08/2021,
21/08/2021,Rip democracy,0,0,0,0,en,Twitter for iPhone,['NotMyPM'],FALSE,05/10/2009,malaysia
20/08/2021,Rip democracy tapi kita mana ada undi sapa jadi pm waktu PRU,0,0,0,0,en,Twitter for Android,,FALSE,14/09/2016,me/meow
20/08/2021,syznaly rip democracy,0,1,5,0,en,Twitter for Android,,FALSE,11/02/2009,"Kuala Lumpur, Malaysia"
20/08/2021,rip democracy Its heartbreaking and demotivating,0,0,0,0,en,Twitter Web App,,FALSE,31/07/2012,
20/08/2021,Rip democracy rip Malaysia Est,0,0,0,0,en,Twitter for iPhone,,FALSE,15/12/2011,
20/08/2021,RIP Democracy What a sad sad day,0,0,0,0,en,Twitter for Android,,FALSE,17/10/2016,6
20/08/2021,Rip Malaysia Rip democracy,0,1,1,0,en,Twitter for iPhone,,FALSE,25/09/2011,
20/08/2021,People worked hard to fight in the last elections All ignored Rip Democracy NotMyPM,0,1,12,0,en,Twitter for Android,,FALSE,11/09/2019,
20/08/2021,nepotism of the RIP democracy,0,0,0,0,en,Twitter Web App,,FALSE,19/09/2012,
20/08/2021,The only channel rakyat ada untuk berhubung dengan agong is through Wakil Rakyat Tapi irony betul bila rakyat tak pilih Ismail Sabri tapi dia yang jadi perdana menteri Rip democracy,0,0,0,0,en,Twitter for iPhone,,FALSE,27/01/2021,dont follow | 20
20/08/2021,RIP democracy Malaysia,0,3,1,0,en,Twitter for Android,['NotMyPM'],FALSE,17/03/2012,순딩이들
20/08/2021,Wtf the th PM I did not vote for him either Rip democracy,0,0,0,0,en,Twitter for Android,,FALSE,17/11/2009,Malaysia
20/08/2021,i think selagi bersatu tu stay dgn PN GE pun susah kita nak menang rip democracy,0,0,2,0,en,Twitter for iPhone,,FALSE,25/10/2011,"Gryffindor, Hogwarts "
20/08/2021,Rip Democracy Democracy really is an illusion given to people to make they think have the power to choose But in actual reality the wealthy amp influence has that ppwer,0,0,1,0,en,Twitter for iPhone,,FALSE,16/11/2011,
20/08/2021,RIP democracy in Malaysia,0,6,2,0,en,Twitter for Android,,FALSE,23/03/2012,
20/08/2021,Rip democracy Rip All,1,1,2,0,en,Twitter for iPhone,,FALSE,31/12/2010,kuala lumpur
20/08/2021,rip democracy disappointed,0,0,1,0,en,Twitter for iPhone,,FALSE,01/01/2017,"Seremban, Negeri Sembilan"
20/08/2021,Sorry I m going to unfollow Santapan Minda I need a clear and good mindset vibes Disappointed New PM PM Ismail Sabri is NotMyPM RIP Democracy Malaysia KerajaanPintuBelakang,0,0,0,0,en,Twitter for iPhone,['disappointed'],FALSE,28/07/2015,Selangor
