"word","in documents","total"
"notmypm",906,934
"ismailsabri",109,113
"kerajaangag",88,107
"malaysia",95,105
"rakyat",54,67
"yang",39,49
"jadi",38,44
"sabri",41,43
"ismail",41,42
"covid",39,41
"awani",38,39
"keluarga",32,36
"peopl",29,33
"keluargamalaysia",30,31
"time",30,31
"countri",28,30
"famili",24,30
"kerajaaangag",29,29
"dengan",26,28
"kalau",26,28
"racist",27,28
"buat",26,27
"tapi",24,27
"kerajaan",24,26
"macam",21,26
"kita",22,24
"lagi",22,24
"umno",23,24
"baru",20,23
"lawan",23,23
"dari",18,22
"know",22,22
"bukan",19,21
"doooommmmmm",21,21
"elect",18,21
"lawantetaplawan",21,21
"menteri",19,21
"orang",20,21
"vote",19,21
"boleh",19,20
"mail",20,20
"negara",19,20
"want",19,20
"govern",15,19
"sampai",18,19
"mana",18,18
"semua",16,18
"akan",15,17
"bila",14,17
"kena",14,17
"minist",16,17
"good",15,16
"kerajaangagallagi",16,16
"malaysian",16,16
"polit",16,16
"trend",14,16
"bapadafi",15,15
"dalam",15,15
"hari",12,15
"make",15,15
"melayu",7,15
"think",15,15
"cakap",14,14
"kerja",13,14
"saya",11,14
"take",14,14
"anak",12,13
"cabinet",13,13
"dafi",12,13
"dulu",13,13
"expect",13,13
"fmtodai",13,13
"lebih",13,13
"morrison",13,13
"said",13,13
"sama",13,13
"takd",13,13
"bagi",11,12
"betul",12,12
"give",11,12
"hope",7,12
"ikut",10,12
"nation",12,12
"pasal",9,12
"pleas",12,12
"sekarang",12,12
"siapa",11,12
"support",11,12
"tweet",11,12
"baik",10,11
"bodoh",7,11
"chang",10,11
"come",10,11
"lain",10,11
"look",11,11
"pulak",10,11
"tidak",10,11
"actual",10,10
"auspol",9,10
"call",10,10
"care",9,10
"definit",10,10
"dengar",6,10
"dont",10,10
"kerajaanrecycl",10,10
"lepa",10,10
"masa",8,10
"notmyfamili",10,10
"parti",9,10
"plan",10,10
"prime",10,10
"sai",10,10
"sebagai",10,10
"start",10,10
"thing",10,10
"untuk",9,10
"anwar",9,9
"babi",8,9
"cerita",8,9
"hashtag",8,9
"issu",6,9
"jawatan",8,9
"kkmputrajaya",9,9
"korang",8,9
"korg",6,9
"leader",9,9
"nampak",9,9
"politik",9,9
"ramai",7,9
"resign",7,9
"respect",6,9
"sangat",9,9
"sorri",8,9
"stop",9,9
"work",8,9
"adalah",8,8
"baca",8,8
"case",8,8
"caus",7,8
"cucu",7,8
"gemilang",5,8
"happen",8,8
"jalur",5,8
"juga",8,8
"kata",8,8
"kenapa",8,8
"lead",8,8
"media",8,8
"nama",8,8
"pemimpin",6,8
"pergi",7,8
"power",7,8
"scomo",7,8
"sekali",6,8
"sendiri",7,8
"speak",8,8
"tahniah",8,8
"tahu",8,8
"talk",8,8
"thank",8,8
"vaccin",5,8
"watch",8,8
"atau",7,7
"bangsa",7,7
"bendera",5,7
"blame",5,7
"burmes",2,7
"choic",6,7
"diri",4,7
"fail",6,7
"geng",7,7
"gila",7,7
"go",7,7
"insid",7,7
"kabinet",6,7
"keputusan",5,7
"langsung",7,7
"lockdown",7,7
"mael",6,7
"main",7,7
"malaysiagazett",7,7
"mampu",7,7
"mati",6,7
"nanti",7,7
"perdana",6,7
"person",7,7
"punya",7,7
"racism",7,7
"rockstar",7,7
"sens",5,7
"siap",7,7
"sibuk",7,7
"skrg",7,7
"taliban",3,7
"tukar",6,7
"wait",7,7
"year",7,7
"zack",7,7
"abah",6,6
"agong",6,6
"agre",6,6
"allah",6,6
"anda",4,6
"bapa",5,6
"believ",6,6
"bersatu",6,6
"billboard",6,6
"bulan",6,6
"enjoi",6,6
"forc",6,6
"freedom",5,6
"friend",6,6
"govt",6,6
"help",5,6
"jayb",6,6
"jika",6,6
"jugak",6,6
"kepada",6,6
"kepala",6,6
"kerajaanderhaka",6,6
"live",6,6
"masih",6,6
"matter",6,6
"memang",5,6
"month",6,6
"muhyiddin",5,6
"okai",5,6
"pakcik",4,6
"pathet",6,6
"peluang",6,6
"percaya",5,6
"perlu",6,6
"photo",3,6
"pilihan",5,6
"point",4,6
"posit",6,6
"pretend",3,6
"rasa",4,6
"read",5,6
"sape",6,6
"sebab",6,6
"segera",6,6
"sekolah",6,6
"self",6,6
"shit",6,6
"show",6,6
"speech",6,6
"susah",6,6
"tengok",6,6
"ucapan",6,6
"undi",5,6
"wake",6,6
"warga",3,6
"word",6,6
"afghanistan",5,5
"agama",5,5
"bantuan",5,5
"benda",5,5
"chines",4,5
"cina",3,5
"dapat",5,5
"dasar",5,5
"death",4,5
"dekat",4,5
"democraci",5,5
"disgrac",5,5
"fact",5,5
"forget",5,5
"found",4,5
"freedomr",4,5
"get",4,5
"gui",5,5
"habi",4,5
"imagin",4,5
"ingat",4,5
"interview",3,5
"kanak",3,5
"kerana",5,5
"kuasa",5,5
"lagacawan",5,5
"layak",5,5
"letak",5,5
"major",4,5
"malaysiakini",5,5
"mean",5,5
"member",5,5
"mkini",5,5
"monei",3,5
"morn",5,5
"muda",5,5
"muhyiddinyassin",5,5
"mungkin",5,5
"naik",5,5
"notmygovern",5,5
"notmykeluarga",5,5
"notmypresid",5,5
"pale",5,5
"part",5,5
"pastu",5,5
"pent",5,5
"perkauman",5,5
"pernah",4,5
"pkpd",5,5
"place",5,5
"post",5,5
"rasi",3,5
"sabah",5,5
