content,sentiment
notmybrothers notmypm,neutral
no point la no point pretending to follow the agong s advice no point pretending to form bipartisanship you will always be the racist and self centred man you are not fit to be prime minister notmypm kerajaangagal,negative
i would have done the same not pm,neutral
remainerswereright notmypm toryshambles,neutral
one day my son will ask me how i voted i voted labour and remain personally i would feel embarrassed to tell him anything else he is we have removed some of his rights and freedoms remainerswereright notmypm,negative
if you recall he voted against indigenous rights i am not sure about anyone else but that speaks racism not to mention his antilgbt he can t even spell the nation s capital otawa with a poor track record of managing his own party s finances notmypm notfitpm,negative
you re a sad excuse for pm notmypm,negative
yeah it s always the victims that get charged but never the officers or lawmakers pathetic kerajaangagal notmypm,negative
but it ll never happen ismailsabri notmypm,neutral
"i just met pm, i've had steam before, it's notmypm, but now the people of the table have turned, that's another time to deal with obsession, don't take it anywhere hahahahaha",negative
ride then delicious dessert in this area of johor bahru want to order roger je okay unite anwar notmypm,positive
as anak muda myself hear me out resign we don't want you not pm,negative
teen perhaps his way of saying not pm,neutral
malaysiagazette pakmail goyang risau rebah krn bersatu kenalah jumpa pembangkang lak utk pastikan undi percaya nnt klu x nnt jd pm paling pendek dlm sejarah lak notmypm ismailsabri,neutral
bernamadotcom pakmail goyang takut rebah krn bersatu then persuade the opposition to make sure the vote is trustworthy and avoid being the shortest pm in the history of notmypm ismailsabri,positive
adzman ismailsabri muhyiddinyassin xyah jd pm klu xda his own stand or plan as far as playing malay drama tv alone nk post tp xtau nk watper pastu good dduk umah jer haven't started what pn dh nmpak the failure pakmail ni notmypm ker,negative
billedm third country status will of the people innit notmypm,neutral
melaniedoak adylady i think you are being a bit harsh if he did his job that would mean turning up to work and doing multiple things at the same time how would he holiday and build car parks it s not a race give him time after more and more peo,negative
kleinrevd it will amount to nothing anyway no doubt that scomo makes up stuff as he goes no way to run the country in a time of covid crisis notmypm,negative
staronline frankly ismailsabri you look more sick then drzahidhamidi pmomalaysia notmypm,negative
naimazharrrr notmypm,neutral
malaysia,neutral
angrygranny be very proud of your state and the premier who did the right thing without playing politics with people s lives like the nswpandemic is now out of control where we re told a lot of people are going to die because gladys wanted it all her,positive
not a person from history that anyone with any sense notmypm would want to copy justsaying scomo s got the face down pat facism lnpcrimefamily same same votethemallout,positive
mkini bm eehh he is a spokesperson for the ismailsabri government on what ticket yea dh do you know if you can join the government to anwaribrahim fahmi fadzil hannahyeoh syahredzan zack rockstar bumilangit notmypm,positive
"just open your mouth, malaysian family trash, notmypm",neutral
good morning malaysia ds wan azizah is the mastermind of keluargamalaysia found in is this plagiarism still ismail sabri is notmypm what is covid ganbattemalaysia,positive
malaysiagazette mampu baca script je the too with half dead eyes lol pm more like i ll just take the job for umno not that i know what the f i m doing anyways pathetic notmypm kerajaangagal,negative
imagine being the reason half the country goes into lockdown amp needing extra vaccines due to your own up amp then bragging about having the highest vaccine rate amp also being on the side of the pm who up the rollout imagine being that arrogant gladysmustgo notmypm,negative
excuse me i m allegedly old notmypm,positive
