_type,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,user._type,user.username,user.id,user.displayname,user.description,user.rawDescription,user.descriptionUrls,user.verified,user.created,user.followersCount,user.friendsCount,user.statusesCount,user.favouritesCount,user.listedCount,user.mediaCount,user.location,user.protected,user.linkUrl,user.linkTcourl,user.profileImageUrl,user.profileBannerUrl,user.url,inReplyToUser._type,inReplyToUser.username,inReplyToUser.id,inReplyToUser.displayname,inReplyToUser.description,inReplyToUser.rawDescription,inReplyToUser.descriptionUrls,inReplyToUser.verified,inReplyToUser.created,inReplyToUser.followersCount,inReplyToUser.friendsCount,inReplyToUser.statusesCount,inReplyToUser.favouritesCount,inReplyToUser.listedCount,inReplyToUser.mediaCount,inReplyToUser.location,inReplyToUser.protected,inReplyToUser.linkUrl,inReplyToUser.linkTcourl,inReplyToUser.profileImageUrl,inReplyToUser.profileBannerUrl,inReplyToUser.url,coordinates._type,coordinates.longitude,coordinates.latitude,place._type,place.fullName,place.name,place.type,place.country,place.countryCode,quotedTweet._type,quotedTweet.url,quotedTweet.date,quotedTweet.content,quotedTweet.renderedContent,quotedTweet.id,quotedTweet.user._type,quotedTweet.user.username,quotedTweet.user.id,quotedTweet.user.displayname,quotedTweet.user.description,quotedTweet.user.rawDescription,quotedTweet.user.descriptionUrls,quotedTweet.user.verified,quotedTweet.user.created,quotedTweet.user.followersCount,quotedTweet.user.friendsCount,quotedTweet.user.statusesCount,quotedTweet.user.favouritesCount,quotedTweet.user.listedCount,quotedTweet.user.mediaCount,quotedTweet.user.location,quotedTweet.user.protected,quotedTweet.user.linkUrl,quotedTweet.user.linkTcourl,quotedTweet.user.profileImageUrl,quotedTweet.user.profileBannerUrl,quotedTweet.user.url,quotedTweet.replyCount,quotedTweet.retweetCount,quotedTweet.likeCount,quotedTweet.quoteCount,quotedTweet.conversationId,quotedTweet.lang,quotedTweet.source,quotedTweet.sourceUrl,quotedTweet.sourceLabel,quotedTweet.outlinks,quotedTweet.tcooutlinks,quotedTweet.media,quotedTweet.retweetedTweet,quotedTweet.quotedTweet,quotedTweet.inReplyToTweetId,quotedTweet.inReplyToUser,quotedTweet.mentionedUsers,quotedTweet.coordinates,quotedTweet.place,quotedTweet.hashtags,quotedTweet.cashtags,quotedTweet.inReplyToUser._type,quotedTweet.inReplyToUser.username,quotedTweet.inReplyToUser.id,quotedTweet.inReplyToUser.displayname,quotedTweet.inReplyToUser.description,quotedTweet.inReplyToUser.rawDescription,quotedTweet.inReplyToUser.descriptionUrls,quotedTweet.inReplyToUser.verified,quotedTweet.inReplyToUser.created,quotedTweet.inReplyToUser.followersCount,quotedTweet.inReplyToUser.friendsCount,quotedTweet.inReplyToUser.statusesCount,quotedTweet.inReplyToUser.favouritesCount,quotedTweet.inReplyToUser.listedCount,quotedTweet.inReplyToUser.mediaCount,quotedTweet.inReplyToUser.location,quotedTweet.inReplyToUser.protected,quotedTweet.inReplyToUser.linkUrl,quotedTweet.inReplyToUser.linkTcourl,quotedTweet.inReplyToUser.profileImageUrl,quotedTweet.inReplyToUser.profileBannerUrl,quotedTweet.inReplyToUser.url,quotedTweet.coordinates._type,quotedTweet.coordinates.longitude,quotedTweet.coordinates.latitude,quotedTweet.place._type,quotedTweet.place.fullName,quotedTweet.place.name,quotedTweet.place.type,quotedTweet.place.country,quotedTweet.place.countryCode,quotedTweet.quotedTweet._type,quotedTweet.quotedTweet.url,quotedTweet.quotedTweet.date,quotedTweet.quotedTweet.content,quotedTweet.quotedTweet.renderedContent,quotedTweet.quotedTweet.id,quotedTweet.quotedTweet.user._type,quotedTweet.quotedTweet.user.username,quotedTweet.quotedTweet.user.id,quotedTweet.quotedTweet.user.displayname,quotedTweet.quotedTweet.user.description,quotedTweet.quotedTweet.user.rawDescription,quotedTweet.quotedTweet.user.descriptionUrls,quotedTweet.quotedTweet.user.verified,quotedTweet.quotedTweet.user.created,quotedTweet.quotedTweet.user.followersCount,quotedTweet.quotedTweet.user.friendsCount,quotedTweet.quotedTweet.user.statusesCount,quotedTweet.quotedTweet.user.favouritesCount,quotedTweet.quotedTweet.user.listedCount,quotedTweet.quotedTweet.user.mediaCount,quotedTweet.quotedTweet.user.location,quotedTweet.quotedTweet.user.protected,quotedTweet.quotedTweet.user.linkUrl,quotedTweet.quotedTweet.user.linkTcourl,quotedTweet.quotedTweet.user.profileImageUrl,quotedTweet.quotedTweet.user.profileBannerUrl,quotedTweet.quotedTweet.user.url,quotedTweet.quotedTweet.replyCount,quotedTweet.quotedTweet.retweetCount,quotedTweet.quotedTweet.likeCount,quotedTweet.quotedTweet.quoteCount,quotedTweet.quotedTweet.conversationId,quotedTweet.quotedTweet.lang,quotedTweet.quotedTweet.source,quotedTweet.quotedTweet.sourceUrl,quotedTweet.quotedTweet.sourceLabel,quotedTweet.quotedTweet.outlinks,quotedTweet.quotedTweet.tcooutlinks,quotedTweet.quotedTweet.media,quotedTweet.quotedTweet.retweetedTweet,quotedTweet.quotedTweet.quotedTweet,quotedTweet.quotedTweet.inReplyToTweetId,quotedTweet.quotedTweet.inReplyToUser,quotedTweet.quotedTweet.mentionedUsers,quotedTweet.quotedTweet.coordinates,quotedTweet.quotedTweet.place,quotedTweet.quotedTweet.hashtags,quotedTweet.quotedTweet.cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/drhalimahali/status/1430676456665874433,2021-08-25T23:40:22+00:00,Bicara #keluargaMalaysia... bagaimana nak sepakat https://t.co/tVOUTCqpzj,Bicara #keluargaMalaysia... bagaimana nak sepakat https://t.co/tVOUTCqpzj,1430676456665874433,0,7,20,0,1430676456665874433,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9rIptAUcAgoJNL?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9rIptAUcAgoJNL?format=jpg&name=large'}]",,,,,,,,['keluargaMalaysia'],,snscrape.modules.twitter.User,drhalimahali,53459341,#DRHALIMAHALI,"Ex Selangor State Executive Councillor, Chairperson Education, Higher Education &Human capital Development, PAS Central Committee Member; Exco DewanMuslimatPAS","Ex Selangor State Executive Councillor, Chairperson Education, Higher Education &Human capital Development, PAS Central Committee Member; Exco DewanMuslimatPAS",,False,2009-07-03T18:29:18+00:00,17557,737,8380,2312,52,3044,"Klang, Selangor",False,https://m.facebook.com/drhalimahalipage,https://t.co/Z5or6CPF9F,https://pbs.twimg.com/profile_images/1032608745199525888/FDORMugi_normal.jpg,https://pbs.twimg.com/profile_banners/53459341/1535028083,https://twitter.com/drhalimahali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/jerryyap2/status/1430638993989902338,2021-08-25T21:11:30+00:00,"Permulaan yang baik !
Semoga segala dipermudahkan !
Hebat PM @ismailsabri60  !

#KeluargaMalaysia 
#kitamenangkeranamu https://t.co/BhWmmFsokt","Permulaan yang baik !
Semoga segala dipermudahkan !
Hebat PM @ismailsabri60  !

#KeluargaMalaysia 
#kitamenangkeranamu instagram.com/p/CTAxJzFhqKq/…",1430638993989902338,0,0,0,0,1430638993989902338,in,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",http://instagram.com,Instagram,['https://www.instagram.com/p/CTAxJzFhqKq/?utm_medium=twitter'],['https://t.co/BhWmmFsokt'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'IsmailSabri60', 'id': 150566521, 'displayname': 'Ismail Sabri', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/IsmailSabri60'}]",,,"['KeluargaMalaysia', 'kitamenangkeranamu']",,snscrape.modules.twitter.User,jerryyap2,138746524,JERRY YAP,🇲🇾 Loyal to King & Country,🇲🇾 Loyal to King & Country,,False,2010-04-30T13:22:28+00:00,52110,28240,51526,6004,25,4633,"Jinjang Utara, Kepong, WPKL",False,http://twittercounter.com/jerryyap2,https://t.co/hokTeAaBD4,https://pbs.twimg.com/profile_images/1370239038674726912/xBLgYIQV_normal.jpg,https://pbs.twimg.com/profile_banners/138746524/1628028880,https://twitter.com/jerryyap2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/fuad_hussin/status/1430578503787810817,2021-08-25T17:11:08+00:00,"@harakahdailyHD @DUPNKelantan Erti MERDEKA sebenar yang perlu dihayati.

#merdeka2021
#KeluargaMalaysia","@harakahdailyHD @DUPNKelantan Erti MERDEKA sebenar yang perlu dihayati.

#merdeka2021
#KeluargaMalaysia",1430578503787810817,0,0,1,0,1430568273397960713,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4305682733979607e+18,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'harakahdailyHD', 'id': 91965564, 'displayname': 'Harakahdaily | الحركة', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/harakahdailyHD'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'DUPNKelantan', 'id': 1430561267333222404, 'displayname': 'Dewan Ulamak PAS Negeri Kelantan', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/DUPNKelantan'}]",,,"['merdeka2021', 'KeluargaMalaysia']",,snscrape.modules.twitter.User,fuad_hussin,555894285,Hanifulfuad Hussin,Pegawai Latihan YTK | Mantan Presiden Persekutuan Melayu Republik Arab Mesir | Studying Arabic Course at Al-Azhar University,Pegawai Latihan YTK | Mantan Presiden Persekutuan Melayu Republik Arab Mesir | Studying Arabic Course at Al-Azhar University,,False,2012-04-17T09:02:05+00:00,226,234,110,35,0,12,Malaysia,False,,,https://pbs.twimg.com/profile_images/600797092739739649/PLYbI0nX_normal.jpg,https://pbs.twimg.com/profile_banners/555894285/1377488445,https://twitter.com/fuad_hussin,snscrape.modules.twitter.User,harakahdailyHD,91965564.0,Harakahdaily | الحركة,,,,,,,,,,,,,,,,,,https://twitter.com/harakahdailyHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/azhakamarudin/status/1430566689221922816,2021-08-25T16:24:12+00:00,#KeluargaMalaysia https://t.co/JSYZUR9aX1,#KeluargaMalaysia https://t.co/JSYZUR9aX1,1430566689221922816,0,0,2,0,1430566689221922816,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9pk0mlUcAItTLm?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9pk0mlUcAItTLm?format=jpg&name=large'}]",,,,,,,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,azhakamarudin,158729292,azhar@apak66,Founder of BENDOLLAND MULTI SERVICES.,Founder of BENDOLLAND MULTI SERVICES.,,False,2010-06-23T12:57:59+00:00,129,586,2747,962,1,224,"ÜT: 2.6921077,102.1566115",False,,,https://pbs.twimg.com/profile_images/955694788719779840/zS9EFmV6_normal.jpg,,https://twitter.com/azhakamarudin,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,101.52466957485457,3.0710361772600496,snscrape.modules.twitter.Place,Vista Alam,Vista Alam,poi,Malaysia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/amirulsyafiqmy/status/1430565041971949576,2021-08-25T16:17:39+00:00,"Akhir sekali, marilah kita bersama-sama berdoa kepada ilahi agar krisis yang sedang berlaku ini segera berakhir supaya kita semua dapat menikmati kehidupan seperti biasa.

#KeluargaMalaysia 🇲🇾","Akhir sekali, marilah kita bersama-sama berdoa kepada ilahi agar krisis yang sedang berlaku ini segera berakhir supaya kita semua dapat menikmati kehidupan seperti biasa.

#KeluargaMalaysia 🇲🇾",1430565041971949576,0,0,2,0,1430565032044105730,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.430565040076116e+18,,,,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,amirulsyafiqmy,1414273614866649089,محمد اميرول شفيق ™,"Proud Muslim, Malay and Malaysian 🇲🇾","Proud Muslim, Malay and Malaysian 🇲🇾",,False,2021-07-11T17:21:33+00:00,9,137,323,1,0,139,"Kudat, Sabah, Malaysia",False,http://bit.ly/amirulsyafiqmy,https://t.co/pdGux71KSb,https://pbs.twimg.com/profile_images/1425855185092374530/XnaUD3iL_normal.jpg,https://pbs.twimg.com/profile_banners/1414273614866649089/1629632661,https://twitter.com/amirulsyafiqmy,snscrape.modules.twitter.User,amirulsyafiqmy,1.414273614866649e+18,محمد اميرول شفيق ™,"Proud Muslim, Malay and Malaysian 🇲🇾","Proud Muslim, Malay and Malaysian 🇲🇾",,False,2021-07-11T17:21:33+00:00,9.0,137.0,323.0,1.0,0.0,139.0,"Kudat, Sabah, Malaysia",False,http://bit.ly/amirulsyafiqmy,https://t.co/pdGux71KSb,https://pbs.twimg.com/profile_images/1425855185092374530/XnaUD3iL_normal.jpg,https://pbs.twimg.com/profile_banners/1414273614866649089/1629632661,https://twitter.com/amirulsyafiqmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sharkawiahmad/status/1430561873116626950,2021-08-25T16:05:03+00:00,@f15teen15 Demi #KeluargaMalaysia . UMNO is ok now. Lets support Mail. Kah kah,@f15teen15 Demi #KeluargaMalaysia . UMNO is ok now. Lets support Mail. Kah kah,1430561873116626950,1,0,0,0,1430453126276861958,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.430453126276862e+18,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'f15teen15', 'id': 1225576186450890752, 'displayname': '|an Babe™️', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/f15teen15'}]",,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,sharkawiahmad,493865431,sharkawi,😊🙄🥺😣😭🤣🥰🤪 ~ Life,😊🙄🥺😣😭🤣🥰🤪 ~ Life,,False,2012-02-16T08:31:28+00:00,660,712,69535,559,1,1042,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1436552902043058180/lNeuzDOY_normal.jpg,https://pbs.twimg.com/profile_banners/493865431/1353416547,https://twitter.com/sharkawiahmad,snscrape.modules.twitter.User,f15teen15,1.2255761864508908e+18,|an Babe™️,,,,,,,,,,,,,,,,,,https://twitter.com/f15teen15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sharkawiahmad/status/1430561206708830210,2021-08-25T16:02:24+00:00,@haziqzolkiflee @anwaribrahim @dapmalaysia Da baik dgn Mail da. Syukur. UMNO perlu diperkasakan. Demi #KeluargaMalaysia  kah kah,@haziqzolkiflee @anwaribrahim @dapmalaysia Da baik dgn Mail da. Syukur. UMNO perlu diperkasakan. Demi #KeluargaMalaysia  kah kah,1430561206708830210,0,0,1,0,1430469452684922882,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.430469452684923e+18,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'haziqzolkiflee', 'id': 277417087, 'displayname': 'Ajik™ 🇲🇾', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/haziqzolkiflee'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'anwaribrahim', 'id': 1839871, 'displayname': 'Anwar Ibrahim', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/anwaribrahim'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'dapmalaysia', 'id': 14418045, 'displayname': 'DAP Malaysia', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/dapmalaysia'}]",,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,sharkawiahmad,493865431,sharkawi,😊🙄🥺😣😭🤣🥰🤪 ~ Life,😊🙄🥺😣😭🤣🥰🤪 ~ Life,,False,2012-02-16T08:31:28+00:00,660,712,69535,559,1,1042,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1436552902043058180/lNeuzDOY_normal.jpg,https://pbs.twimg.com/profile_banners/493865431/1353416547,https://twitter.com/sharkawiahmad,snscrape.modules.twitter.User,haziqzolkiflee,277417087.0,Ajik™ 🇲🇾,,,,,,,,,,,,,,,,,,https://twitter.com/haziqzolkiflee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sharkawiahmad/status/1430560635390103552,2021-08-25T16:00:08+00:00,Demi #KeluargaMalaysia  ayuh sokong Mail. Bang Non pn da ok tu. https://t.co/Jh8SCkBa02,Demi #KeluargaMalaysia  ayuh sokong Mail. Bang Non pn da ok tu. twitter.com/fmtoday/status…,1430560635390103552,0,0,1,0,1430560635390103552,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://twitter.com/fmtoday/status/1430442770477453314'],['https://t.co/Jh8SCkBa02'],,,,,,,,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,sharkawiahmad,493865431,sharkawi,😊🙄🥺😣😭🤣🥰🤪 ~ Life,😊🙄🥺😣😭🤣🥰🤪 ~ Life,,False,2012-02-16T08:31:28+00:00,660,712,69535,559,1,1042,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1436552902043058180/lNeuzDOY_normal.jpg,https://pbs.twimg.com/profile_banners/493865431/1353416547,https://twitter.com/sharkawiahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Tweet,https://twitter.com/fmtoday/status/1430442770477453314,2021-08-25T08:11:47+00:00,"PH won’t act against PM if he focuses on people, says Anwar #FMTNews https://t.co/LfqruR5wuR","PH won’t act against PM if he focuses on people, says Anwar #FMTNews freemalaysiatoday.com/category/natio…",1.4304427704774533e+18,snscrape.modules.twitter.User,fmtoday,102098902.0,Free Malaysia Today,Free and Independent 🇲🇾 Instagram: @freemalaysiatoday Tik Tok: @freemalaysiatoday,Free and Independent 🇲🇾 Instagram: @freemalaysiatoday Tik Tok: @freemalaysiatoday,,True,2010-01-05T16:17:15+00:00,220629.0,1.0,284722.0,0.0,844.0,20669.0,Malaysia,False,https://www.freemalaysiatoday.com/,https://t.co/ygn3Dfvoid,https://pbs.twimg.com/profile_images/1344518861350084611/WvU7Ou9Q_normal.jpg,https://pbs.twimg.com/profile_banners/102098902/1618993256,https://twitter.com/fmtoday,2.0,9.0,34.0,3.0,1.4304427704774533e+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://www.freemalaysiatoday.com/category/nation/2021/08/25/ph-wont-act-against-pm-if-he-focuses-on-people-says-anwar/'],['https://t.co/LfqruR5wuR'],,,,,,,,,['FMTNews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sharkawiahmad/status/1430560224738373636,2021-08-25T15:58:30+00:00,"@Gang_Utara Xpela. Anwar, dap amanah da sign da tu. Okla tu nnt dgn Mail . Demia #KeluargaMalaysia","@Gang_Utara Xpela. Anwar, dap amanah da sign da tu. Okla tu nnt dgn Mail . Demia #KeluargaMalaysia",1430560224738373636,0,0,0,0,1430438122618167298,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4304381226181673e+18,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Gang_Utara', 'id': 1097337369856958466, 'displayname': 'GangUtara', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Gang_Utara'}]",,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,sharkawiahmad,493865431,sharkawi,😊🙄🥺😣😭🤣🥰🤪 ~ Life,😊🙄🥺😣😭🤣🥰🤪 ~ Life,,False,2012-02-16T08:31:28+00:00,660,712,69535,559,1,1042,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1436552902043058180/lNeuzDOY_normal.jpg,https://pbs.twimg.com/profile_banners/493865431/1353416547,https://twitter.com/sharkawiahmad,snscrape.modules.twitter.User,Gang_Utara,1.0973373698569585e+18,GangUtara,,,,,,,,,,,,,,,,,,https://twitter.com/Gang_Utara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sharkawiahmad/status/1430559521223548928,2021-08-25T15:55:43+00:00,"Da kurang bising da geng2 anwar, dap ni. Maybe sebab skrg perlu sokong UMNO. Demi #KeluargaMalaysia","Da kurang bising da geng2 anwar, dap ni. Maybe sebab skrg perlu sokong UMNO. Demi #KeluargaMalaysia",1430559521223548928,0,0,1,0,1430559521223548928,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,,['KeluargaMalaysia'],,snscrape.modules.twitter.User,sharkawiahmad,493865431,sharkawi,😊🙄🥺😣😭🤣🥰🤪 ~ Life,😊🙄🥺😣😭🤣🥰🤪 ~ Life,,False,2012-02-16T08:31:28+00:00,660,712,69535,559,1,1042,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1436552902043058180/lNeuzDOY_normal.jpg,https://pbs.twimg.com/profile_banners/493865431/1353416547,https://twitter.com/sharkawiahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
